network,sales_2025,share,cum_share,is_class_a
GPA,6891306.199999482,0.2755293594810017,0.2755293594810017,True
OBA,2827616.159999849,0.1130542232215637,0.3885835827025655,True
COVABRA,2764298.439999908,0.1105226435283871,0.4991062262309526,True
SAVEGNAGO,1599039.1899998838,0.0639330528957951,0.5630392791267478,True
ST MARCHE,1485000.720000106,0.0593735476752558,0.6224128268020036,True
CARREFOUR,1322112.0699999507,0.0528609063705825,0.6752737331725862,True
MAMBO,1283428.319999986,0.051314246194633,0.7265879793672192,True
ENXUTO,1034334.9899999936,0.0413549549261804,0.7679429342933997,True
DALBEN,551622.4000000083,0.0220550592494912,0.7899979935428909,True
BOA,542556.0999999985,0.0216925689233662,0.8116905624662571,True
Demais redes,4709835.6299999915,0.18830943753374038,1.0,False
